Account Code,Account Name,Account Owner,Account Classification,Parent Account,No of Employees,Ownership,Industry,Account Type,Is Parent Account,Distributor Name,Subsidiary,Region,Phone,Fax,Email,Rating,SIC Code,Annual Revenue,Website
Null,Cognizant Technology Solutions Ltd,Johnson,2,Null,15,4,5,5,False,1,Null,Chennai,080-4512451,22222,Sivasankar@nimbole.com,5,05,1500000,www.Accounts.com
Null,Accenture Technology Solutions Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,HCL Solutions Ltd,James Rathan Kadari,2,Null,15,4,5,4,False,4,Null,Chennai,080-4512451,22222,vsiva9552@gmail.com,5,05,1500000,www.Accounts.com
Null,Infosys Solutions Ltd,Johnson,2,Null,15,4,6,6,False,4,Null,Chennai,080-4512451,22222,Sivasankar@nimbole.com,5,05,1500000,www.Accounts.com
Null,ARM Solutions Ltd,john Smith,2,Null,9,4,4,4,False,0,Null,kadapa1,9901824456,S4,arjun@gmail.com,8,aaaa11111,800000000,www.Action.com
Null,Aricent Technology Ltd,Ramana Reddy,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,ABM Technology Ltd,RAVIKUPPALA,2,Null,45,3,3,3,False,0,Null,T.Sundupalli,9908955657,sd1,arun@gmail.com,8,Ds12,1000000,www.account.com
Null,ZOHO Technology Ltd,Sankar,2,Null,15,4,6,6,False,4,Null,Chennai,080-125487,222222,vsiva9552@gmail.com,05,01,2,www.accounts.com
Null,XPIO Technology Solutions Pvt Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,SFA Singapore Ltd,Ronnie,1,Null,10,6,7,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Kolar Biotech Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,KPIT Cummins Infosystems Limited,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Indian Software Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Indian Infotech & Software Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Innovision E-Commerce Ltd,Larry Ellison,2,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Innovation Technology Ltd.,Gordon E. Moore,2,Null,100,7,7,7,False,4,Null,Chennai,080-1235478,222222,Sivasankar.vadde@nimbole.com,5,02,500000,www.nimbole.com
Null,Innovation Software Ltd.,TATA,2,Null,10,6,7,7,False,17,Null,Chennai,080-1235478,222222,Sivasankar.vadde@nimbole.com,5,02,500000,www.nimbole.com
Null,Innovation Software Exports Ltd.,John,2,Null,15,2,2,2,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Infronics Systems Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Informed Solutions India Ltd,Arjun,2,2,5,15,9,6,False,4,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Informed Technologies India Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Indovation Technologies Ltd.,Anji,2,2,54,10,3,24,False,52,Null,Banglore,9901383631,fax,Anji1@gmail.com,8,SicCode12,8000000,Website
Null,International Data Management Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Integrated Hitech Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Igate Software Solutions Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Igate Global Solutions Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,ICES Software Ltd,John paul,2,173,45,40,24,30,False,54,Null,chennai,8884366363,22222,sivasankar.vadde@nimbole.com,05,02,2500000,www.Accounts.com
Null,I Power Solutions India Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,HCL Infosystems Ltd.,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,HOV Services Ltd,Clifford,2,175,60,42,26,32,False,175,Null,chennai,8884366363,22222,sivasankar.vadde@nimbole.com,05,02,2500000,www.Accounts.com
Null,HCL Technologies Ltd,Altavista,1,MSN,200,46,30,Altavista,False,54,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Harbor Network Systems Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Frontier Information Technologies Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Fax Technologies Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Goldstone Technologies Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,G-Tech Info Training Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Frontline Business Solutions Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Financial Technologies (India) Ltd,Altavista,2,223,500,22,32,33,False,151,Null,chennai,8884366363,22222,sivasankar.vadde@nimbole.com,05,02,5000000,www.Accounts.com
Null,Amithi Software Solutions Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,FAX Software Solutions Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,FCS Software Solutions Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Google Solutions Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
Null,Hinduja Global Solutions Ltd,Null,Null,Null,0,0,0,0,False,Null,Null,Null,Null,Null,Null,Null,Null,0,Null
